"Category";"Sademäärä prosentteina 1991–2020 keskiarvosta"
1961;100
1962;103
1963;64
1964;71
1965;25
1966;72
1967;56
1968;60
1969;34
1970;75
1971;54
1972;60
1973;92
1974;39
1975;93
1976;28
1977;61
1978;11
1979;79
1980;65
1981;45
1982;192
1983;95
1984;55
1985;88
1986;116
1987;68
1988;78
1989;142
1990;22
1991;136
1992;83
1993;81
1994;36
1995;88
1996;70
1997;37
1998;112
1999;91
2000;96
2001;78
2002;40
2003;142
2004;114
2005;202
2006;148
2007;118
2008;98
2009;153
2010;131
2011;145
2012;94
2013;35
2014;102
2015;248
2016;99
2017;30
2018;23
2019;155
2020;59
2021;116
2022;62
2023;54
2024;22
