"Category";"Keskilämpötilan poikkeama 1991–2020 keskiarvosta"
1961;-2,2
1962;-1,2
1963;4
1964;-0,4
1965;-3,7
1966;-1,2
1967;-0,9
1968;-3,5
1969;-3,3
1970;-1,2
1971;-1,9
1972;-2,1
1973;-1,3
1974;-2
1975;0,6
1976;1
1977;-2,5
1978;0,2
1979;-0,1
1980;-0,9
1981;0,1
1982;-1,7
1983;1,3
1984;3,4
1985;-2,7
1986;-0,2
1987;-1,1
1988;0,4
1989;1,1
1990;-0,7
1991;-3
1992;1,2
1993;0,2
1994;-2,1
1995;-2
1996;-2,8
1997;-2,7
1998;-1,5
1999;-2,2
2000;0,8
2001;-1,3
2002;1,7
2003;0,8
2004;0
2005;-1,4
2006;1,4
2007;-0,2
2008;-0,9
2009;2,4
2010;2,4
2011;0,5
2012;0
2013;3,8
2014;0,3
2015;0
2016;3,4
2017;-3,2
2018;4,4
2019;-0,4
2020;-0,9
2021;-1
2022;0,8
2023;1,9
2024;2,3
